date_time,num_cases,num_diseased,type
2021-08-05,1159,37,fitted
2021-08-06,1257,46,fitted
2021-08-07,920,41,fitted
2021-08-08,582,29,fitted
2021-08-09,697,36,fitted
2021-08-10,881,28,fitted
2021-08-11,849,28,fitted
2021-08-12,536,35,fitted
2021-08-13,623,21,fitted
2021-08-14,647,27,fitted
2021-08-15,557,30,fitted
2021-08-16,496,35,fitted
2021-08-17,539,24,fitted
2021-08-18,543,23,fitted
2021-08-19,613,19,fitted
2021-08-20,593,23,fitted
2021-08-21,541,20,fitted
2021-08-22,448,28,fitted
2021-08-23,480,23,fitted
2021-08-24,516,14,fitted
2021-08-25,456,15,fitted
2021-08-26,490,16,fitted
2021-08-27,403,22,fitted
2021-08-28,363,17,fitted
2021-08-29,285,14,fitted
2021-08-30,350,13,fitted
2021-08-31,355,15,fitted
2021-09-01,322,15,fitted
2021-09-02,331,10,fitted
2021-09-03,340,9,fitted
2021-09-04,265,6,fitted
2021-09-05,182,13,fitted
2021-09-06,273,10,fitted
2021-09-07,186,25,fitted
2021-09-08,223,12,fitted
2021-09-09,255,22,fitted
2021-09-10,227,8,fitted
2021-09-11,252,16,fitted
2021-09-12,141,20,fitted
2021-09-13,149,13,fitted
2021-09-14,192,13,fitted
2021-09-15,213,12,fitted
2021-09-16,184,11,fitted
2021-09-17,193,9,fitted
2021-09-18,232,16,fitted
2021-09-19,202,10,fitted
2021-09-20,150,19,fitted
2021-09-21,237,7,fitted
2021-09-22,212,15,fitted
2021-09-23,218,11,fitted
2021-09-24,172,11,fitted
2021-09-25,134,6,fitted
2021-09-26,151,12,fitted
2021-09-27,53,10,preliminary
2021-09-28,148,6,preliminary
2021-09-29,168,12,preliminary
2021-09-30,255,9,preliminary
2021-10-01,169,7,preliminary
2021-10-02,110,15,preliminary
2021-10-03,105,10,preliminary
2021-10-04,123,14,preliminary
2021-10-05,143,16,preliminary
2021-10-06,246,12,preliminary
2021-10-07,162,14,preliminary
2021-10-08,183,13,preliminary
2021-10-09,161,9,preliminary
2021-10-10,125,8,preliminary
